FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
2.1088796,232.4897,125.74648
1.8376377,433.76605,120.790726
2.5393407,760.6843,133.7024
184.5902,1545.4427,129.56425
1.6504252,340.961,131.11989
1.422827,493.69745,130.15594
4.768576,1398.2157,130.39127
5.81664,552.6174,125.828674
2.3499825,653.4027,129.75226
4.25425,532.2503,126.65572
14.961106,555.56604,133.86746
1.1455574,201.80171,119.957596
2.8497458,1362.6324,130.99039
18.79847,486.9739,128.15488
2.59587,555.62415,126.88163
3.130367,1459.3796,135.24014
1.8881565,1440.7333,127.950516
1.4460245,1139.6515,126.35669
2.4808443,2035.8666,130.0035
7.652475,321.95633,122.376
1.3653129,168.179,117.61696
1.2820534,886.5065,130.22473
1.170439,400.7615,121.91951
3.0070696,1863.8318,133.89848
3.3332582,242.23428,125.785
